,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000
1,78,114,158,207,246,269,292,331,344,393,417,454,472,457,513,509,556,588,588,594,628,643,685,682,683,707,742,727,785,774
2,73,118,173,208,233,273,298,339,364,384,444,438,457,483,523,516,545,563,590,628,597,623,646,692,709,719,718,720,797,772
3,69,123,165,213,268,273,294,332,349,379,408,432,445,500,498,517,559,573,579,618,607,636,656,678,661,711,727,723,743,774
4,71,125,160,215,232,277,311,318,367,405,388,430,497,508,516,555,578,557,596,602,617,643,656,709,672,726,733,749,778,800
5,71,112,147,205,243,278,326,329,359,379,400,430,467,454,497,542,545,565,601,622,609,609,680,681,694,729,744,750,749,765
6,70,112,172,203,243,270,299,325,349,395,416,457,477,481,509,501,564,544,583,579,656,638,634,680,698,697,714,749,755,763
7,73,121,174,194,241,270,300,321,356,403,422,438,469,469,508,521,551,569,584,575,617,605,672,701,678,695,735,739,787,765
8,71,105,162,208,237,272,282,320,358,400,418,417,474,475,506,525,558,558,581,615,622,651,645,682,706,703,737,758,761,754
9,71,133,166,212,232,259,301,320,347,372,401,454,455,487,495,511,542,587,599,605,620,653,680,677,703,725,738,758,778,773
10,77,120,155,207,237,267,310,321,360,390,412,425,466,472,514,519,550,599,574,601,637,642,689,691,697,728,752,741,770,796
11,79,113,158,214,241,261,276,339,351,386,414,414,462,497,499,542,559,561,581,610,632,649,666,668,689,695,731,735,759,759
12,72,120,162,194,232,280,306,335,356,386,416,444,437,503,492,526,581,583,585,624,621,654,673,674,667,726,756,773,747,756
13,66,111,159,208,240,261,301,327,368,379,407,438,466,483,516,490,564,574,609,612,622,648,641,652,694,719,739,729,770,765
14,73,125,154,209,237,298,305,337,371,382,428,442,468,508,493,523,540,586,575,614,617,624,639,649,719,728,711,757,763,813
15,72,119,163,202,246,268,304,329,358,388,414,418,460,478,484,531,530,578,594,610,633,641,632,688,693,713,763,771,769,749
16,69,126,167,203,243,252,294,337,378,381,420,423,438,471,516,543,554,568,568,610,617,659,658,650,756,706,723,754,764,769
17,68,122,151,202,234,273,306,335,335,375,408,420,432,508,496,520,535,553,594,617,612,637,665,694,701,705,703,767,764,775
18,73,122,177,212,234,272,298,330,355,400,415,446,440,487,507,521,547,574,579,600,622,609,623,672,682,714,732,768,797,757
19,72,126,165,207,243,269,308,322,353,390,441,445,456,483,493,537,552,558,584,612,604,633,646,663,695,712,733,723,734,786
20,78,126,158,197,252,264,301,336,351,356,388,455,451,442,526,515,554,571,611,603,626,656,675,657,707,734,742,720,768,774
21,72,120,168,187,242,258,307,343,360,385,416,423,467,470,492,539,532,553,591,593,621,653,670,699,702,705,746,737,801,789
22,73,125,175,188,242,256,283,338,377,374,420,430,451,478,508,511,544,551,582,603,635,639,683,670,686,734,745,746,789,791
23,67,116,172,207,248,258,314,324,363,383,399,424,454,463,511,505,544,582,586,596,633,632,670,689,695,723,733,736,763,776
24,74,120,172,196,232,283,314,308,373,381,414,441,459,488,523,552,547,565,569,589,629,631,664,660,719,696,722,757,774,781
25,75,116,168,217,235,264,281,320,373,368,421,434,446,451,486,527,528,577,579,597,635,651,671,680,708,695,721,745,778,794
26,68,115,160,214,238,277,289,317,348,382,421,423,443,494,524,512,567,564,556,610,631,652,637,666,719,711,736,711,759,768
27,69,113,155,204,235,249,295,341,350,393,415,433,486,510,504,516,554,581,585,594,616,662,635,671,704,694,737,722,773,785
28,66,128,158,219,239,274,307,349,346,393,411,439,488,485,513,529,541,579,609,584,600,643,641,650,733,730,725,776,756,782
29,78,118,163,200,226,286,313,324,356,414,401,443,469,500,507,531,552,546,568,590,614,668,647,695,697,693,730,767,756,759
30,67,131,168,216,219,262,310,325,349,393,405,449,440,460,535,505,557,549,596,621,631,626,664,670,666,726,738,749,736,794
