,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000
1,73,121,165,200,234,256,276,307,325,363,360,382,423,403,459,445,443,474,506,480,505,532,541,540,549,558,578,581,586,596
2,72,127,159,186,223,257,276,307,316,365,371,422,408,409,445,438,463,475,483,507,523,543,525,550,558,541,567,578,577,587
3,70,121,150,198,221,265,287,302,327,362,368,369,419,422,422,449,454,460,485,508,500,520,538,546,550,547,556,560,588,569
4,63,114,155,197,221,270,277,307,311,364,379,386,398,404,432,445,432,492,498,496,503,518,527,537,538,551,570,576,577,574
5,72,117,158,186,236,257,287,313,348,351,363,385,408,424,440,450,465,470,491,523,485,495,546,548,544,561,567,577,559,599
6,69,120,173,194,244,265,277,300,312,360,366,401,412,421,433,453,460,479,498,480,518,523,524,526,553,572,564,568,565,593
7,75,120,157,188,220,267,292,312,308,350,362,375,405,408,413,443,470,474,464,481,509,524,519,535,526,568,575,593,577,593
8,72,127,159,200,230,273,273,294,334,343,400,359,393,434,433,430,454,442,455,494,507,524,529,542,566,542,561,580,569,588
9,71,118,179,193,213,259,262,305,334,349,363,386,393,423,421,439,463,473,494,490,502,527,510,527,569,567,562,583,579,592
10,79,113,164,190,217,265,270,300,322,341,359,392,407,401,425,420,445,458,473,507,512,507,529,538,544,547,563,593,600,584
11,67,119,176,201,226,237,286,306,334,359,380,382,405,426,423,447,468,474,487,512,514,513,534,531,553,575,565,576,559,591
12,68,122,160,201,220,246,278,315,337,347,367,375,399,391,420,449,445,465,488,507,486,507,529,551,560,548,557,568,596,584
13,71,133,171,182,218,263,288,318,315,342,359,402,422,424,405,447,434,470,486,488,524,521,524,513,550,546,559,549,591,579
14,71,133,167,204,222,256,283,289,336,347,365,385,394,405,432,473,466,471,473,506,513,520,531,532,567,551,558,587,574,566
15,72,122,157,192,229,252,303,300,329,336,367,394,391,431,435,447,467,482,490,520,530,530,542,557,548,548,552,567,569,570
16,74,123,158,171,213,250,294,317,320,333,369,401,393,403,414,442,469,467,472,470,517,518,522,544,554,568,577,579,582,590
17,71,113,164,206,223,251,276,296,322,355,366,376,377,439,427,424,460,500,499,508,504,545,518,545,525,556,578,559,609,610
18,70,109,162,187,221,256,279,300,335,332,368,402,403,414,443,441,443,471,487,504,502,509,520,527,537,575,566,568,567,599
19,68,112,159,201,232,258,285,301,332,345,367,361,414,427,433,426,469,470,472,487,492,522,550,514,536,545,571,580,573,603
20,73,124,173,196,235,266,280,300,336,339,375,393,396,411,430,444,470,473,485,495,503,518,521,528,554,582,591,572,589,577
21,72,112,160,201,231,246,273,306,313,346,367,376,398,427,436,444,471,468,478,485,513,503,516,532,551,548,562,567,581,588
22,72,114,163,184,221,237,272,309,329,352,367,366,392,394,425,441,451,466,486,486,504,515,532,551,541,574,566,577,600,581
23,79,114,162,197,219,248,268,309,336,337,344,390,381,411,414,458,453,494,486,490,501,523,521,558,553,593,565,587,563,598
24,67,120,153,196,237,252,286,304,340,347,382,405,383,418,442,448,451,482,492,490,506,524,533,544,573,551,568,591,599,608
25,73,117,165,199,228,258,280,315,327,350,366,375,406,428,434,449,465,456,484,500,519,523,533,532,531,569,559,574,567,601
26,80,118,158,185,237,263,290,309,346,334,365,388,410,428,423,434,450,477,495,508,496,508,515,542,533,558,566,565,577,605
27,69,128,179,210,224,249,292,295,337,336,353,378,412,416,424,442,450,475,492,477,509,534,527,539,554,550,568,592,571,590
28,68,129,157,197,237,262,281,303,330,362,364,396,395,410,442,448,466,455,487,485,503,522,535,536,566,556,556,575,585,596
29,71,124,174,202,232,266,280,298,337,371,368,403,421,406,444,430,471,491,496,498,504,512,526,544,531,567,562,580,564,608
30,74,123,165,205,220,278,279,303,313,362,324,376,394,394,424,441,447,450,490,501,502,505,524,539,562,549,574,604,590,598
31,72,122,152,195,233,249,281,311,318,327,369,383,432,409,448,441,462,484,481,495,519,531,524,531,543,567,559,567,575,600
32,72,128,171,181,223,248,272,300,323,340,361,383,413,398,423,438,459,482,480,494,503,509,529,555,540,540,550,576,583,588
33,68,123,161,204,234,244,281,304,318,328,354,377,398,415,449,432,443,475,485,492,503,506,530,529,529,538,554,548,588,618
34,74,119,159,189,233,260,273,310,318,334,378,373,405,399,425,430,460,480,498,497,518,534,544,537,546,551,572,581,582,583
35,73,114,162,197,226,265,263,301,339,355,351,381,408,406,461,445,467,483,493,491,535,530,506,523,543,553,579,589,603,602
36,62,121,166,192,221,255,278,313,308,363,364,381,409,441,423,464,460,475,482,497,496,502,511,522,546,543,569,567,617,593
37,77,128,151,194,225,259,278,315,302,341,356,388,402,423,432,461,450,469,484,491,519,524,552,545,525,544,559,576,569,603
38,72,128,160,206,233,271,265,305,316,346,379,390,421,415,435,426,458,472,463,498,507,512,506,542,554,529,566,573,580,590
39,75,129,167,196,228,254,289,316,316,358,354,385,393,422,431,449,472,466,465,498,519,520,535,548,566,544,571,562,604,598
40,73,111,155,198,221,244,282,293,323,339,364,384,400,429,436,432,465,488,455,496,504,499,521,555,555,560,567,564,604,574
41,69,134,163,196,228,257,273,309,325,353,355,396,391,425,442,446,466,468,480,494,496,532,523,522,532,557,559,584,579,589
42,81,117,150,191,215,251,284,302,324,364,381,388,399,429,436,444,466,474,504,488,484,502,524,550,530,581,555,569,580,591
43,73,114,155,206,221,262,283,303,338,336,376,400,406,419,433,470,476,465,493,502,509,517,522,539,548,551,578,593,585,582
44,70,115,177,184,226,250,285,305,327,345,373,389,418,412,426,439,445,469,501,521,514,521,541,535,545,550,568,574,584,588
45,61,130,158,203,214,244,276,309,327,318,349,377,386,409,417,445,481,467,491,512,505,517,516,534,551,565,572,571,590,597
46,70,124,155,185,222,260,273,308,328,355,344,398,402,431,434,438,450,473,491,499,503,531,520,525,556,561,570,574,582,575
47,71,121,171,200,237,246,292,313,330,364,370,402,418,412,428,422,442,457,502,481,501,519,533,529,548,548,553,579,569,583
48,68,130,182,202,243,254,277,301,321,343,375,393,418,410,455,435,473,481,492,501,513,508,529,549,554,554,555,581,580,603
49,73,123,156,201,223,270,263,305,319,322,381,394,395,436,439,450,470,479,483,521,515,508,547,562,553,572,568,571,587,594
50,67,118,158,189,225,251,264,313,339,345,389,380,387,427,432,444,473,470,468,517,519,516,538,556,550,561,551,581,571,584
51,64,111,177,183,234,257,293,309,314,337,369,373,406,414,412,436,460,503,475,484,494,525,518,549,533,563,561,575,578,597
52,70,123,161,188,234,241,271,294,346,356,356,367,384,419,436,465,430,471,481,526,525,508,544,544,541,546,581,588,590,617
53,66,124,159,198,218,258,279,314,328,358,377,397,386,419,443,472,466,482,467,485,503,516,523,531,556,537,569,586,591,605
54,73,123,152,200,229,268,276,306,314,335,370,379,407,419,416,438,460,467,500,508,513,519,545,539,540,547,571,587,580,573
55,72,120,164,206,229,254,274,300,300,342,369,396,383,425,419,456,448,461,477,491,527,515,543,536,555,579,566,570,581,594
56,73,123,152,210,236,263,302,294,327,344,374,392,399,417,425,441,468,459,472,514,521,523,540,535,549,564,568,552,585,589
57,70,121,156,201,220,257,270,309,299,357,365,385,403,422,412,445,449,483,465,486,505,524,524,549,553,555,554,575,578,589
58,69,129,159,196,230,252,288,301,314,343,366,382,385,410,433,449,453,476,479,475,495,533,532,545,559,563,565,594,599,580
59,71,119,159,195,215,250,285,287,304,338,371,382,385,412,439,444,452,468,490,489,530,506,522,557,542,572,555,573,565,595
60,68,117,167,201,232,256,271,304,337,332,372,391,402,418,450,448,456,465,469,488,513,524,543,553,547,572,577,567,591,603
61,71,108,158,175,226,240,302,311,331,336,389,386,396,415,431,458,450,474,496,501,518,510,547,528,550,561,576,569,566,574
62,73,112,164,202,219,244,276,307,337,329,367,376,410,425,433,449,445,471,479,498,503,516,551,548,555,580,557,564,610,587
63,71,117,152,196,231,257,272,307,319,345,364,400,424,423,423,449,455,485,479,499,510,528,523,540,558,553,558,588,586,592
64,72,120,151,198,211,255,279,308,323,353,368,377,402,425,425,447,441,487,483,498,478,522,527,524,563,555,570,576,568,605
65,70,124,158,220,236,250,277,310,326,338,365,375,412,406,426,449,455,482,490,506,508,531,543,539,561,565,551,578,582,567
66,73,123,166,207,214,256,256,324,311,349,362,378,407,408,441,458,440,480,492,500,510,503,534,533,565,538,544,563,580,591
67,68,127,172,191,218,243,295,305,322,367,368,379,392,419,438,462,475,474,495,503,514,517,521,560,545,544,563,565,594,579
68,70,113,148,198,239,256,298,309,333,346,366,384,394,404,427,441,456,494,485,477,495,533,527,523,537,558,566,572,567,601
69,72,128,152,204,217,249,287,294,314,327,363,377,396,403,417,448,450,458,487,488,509,520,533,525,564,550,566,575,591,573
70,57,121,172,190,229,250,264,315,337,346,360,374,400,435,417,445,471,483,468,519,501,532,524,535,528,552,555,582,565,597
71,66,122,170,195,233,250,266,301,322,349,377,388,390,437,420,462,453,490,479,484,506,499,532,529,555,560,554,577,577,601
72,65,118,166,207,237,257,279,317,333,348,355,390,420,421,441,444,444,483,492,492,502,543,532,539,552,546,599,570,584,575
73,71,120,150,199,212,249,299,317,327,346,374,397,380,414,441,447,445,478,487,516,515,528,553,548,555,565,553,562,585,576
74,71,117,161,194,220,251,286,305,328,332,363,372,422,426,430,445,472,458,498,499,522,499,539,530,547,553,578,583,579,568
75,71,122,156,222,241,248,278,312,319,340,357,373,394,411,442,446,451,464,505,513,509,510,518,555,548,545,563,578,587,594
76,72,121,164,201,225,259,281,303,308,357,376,376,401,410,428,436,459,461,470,502,509,526,535,516,564,559,584,589,565,609
77,69,120,160,209,239,260,298,307,327,327,363,385,392,423,444,450,451,467,490,494,508,506,542,545,552,557,564,563,583,580
78,75,123,162,197,234,244,281,325,309,355,358,381,401,419,447,433,467,489,492,503,505,525,518,545,562,566,576,583,586,602
79,70,123,174,194,230,246,278,313,321,352,367,387,396,425,418,442,464,476,486,501,511,506,500,537,532,559,562,585,581,621
80,74,132,160,192,231,257,274,310,317,353,376,371,402,417,441,442,441,487,498,518,500,534,521,530,541,558,587,588,587,587
81,83,118,165,193,225,257,282,292,314,330,364,380,407,422,432,455,476,471,481,504,490,525,489,506,553,535,555,570,588,618
82,77,113,168,187,215,237,292,305,332,328,349,395,390,421,437,449,429,453,498,507,490,514,530,557,546,558,579,594,571,587
83,77,121,162,198,226,257,267,304,327,327,357,372,371,434,438,449,475,468,473,516,504,517,524,540,556,550,561,567,583,593
84,76,117,171,197,231,251,292,315,350,344,380,374,403,425,422,449,450,468,501,520,513,524,539,542,533,548,552,575,577,565
85,64,116,156,197,235,269,283,307,335,343,370,383,421,422,429,435,469,475,488,480,501,533,536,522,528,553,572,590,562,593
86,68,122,151,194,225,243,283,322,317,349,360,388,411,426,439,448,461,461,506,484,512,537,519,536,562,568,580,582,595,610
87,72,118,156,194,226,262,294,293,320,345,383,390,430,406,416,445,460,469,487,503,489,512,507,548,556,556,567,594,582,587
88,78,126,164,195,234,255,293,309,316,363,378,383,415,414,428,451,457,448,474,511,489,522,528,534,571,551,544,558,569,610
89,71,116,158,199,223,249,272,301,333,354,346,373,408,410,444,436,450,492,508,495,504,528,523,527,535,547,561,573,571,576
90,73,120,159,198,226,236,278,305,315,351,359,375,401,422,436,445,451,468,494,513,499,538,531,521,540,560,577,583,585,583
91,69,124,169,188,227,269,278,322,325,359,373,374,391,406,433,442,464,485,473,481,501,518,540,532,560,548,569,566,588,583
92,75,119,156,197,238,245,274,315,342,340,360,378,386,415,444,458,467,471,471,504,528,512,525,533,548,537,581,590,582,570
93,73,115,175,191,229,265,287,308,323,345,361,399,384,417,432,450,464,470,496,525,497,527,534,540,553,569,560,583,566,584
94,67,119,164,199,219,256,280,302,328,347,370,376,399,417,432,443,461,477,483,488,508,513,528,550,543,559,556,555,579,584
95,67,117,157,202,215,253,252,314,332,343,368,386,409,420,441,457,471,475,475,492,493,511,529,535,550,569,574,579,578,601
96,75,117,162,204,224,253,276,302,331,338,361,381,415,424,423,437,463,488,474,493,496,526,523,539,529,546,576,570,559,588
97,82,120,173,191,235,265,298,313,328,346,360,399,397,420,431,446,463,485,488,513,525,518,531,553,550,551,582,585,588,585
98,78,121,163,187,205,263,272,306,324,333,384,398,418,442,432,446,464,495,496,487,505,531,525,513,552,547,561,571,586,598
99,69,117,165,193,200,248,277,305,325,352,368,372,385,418,427,442,461,462,461,511,499,532,520,536,563,561,564,574,568,587
100,70,119,155,189,219,247,294,305,325,324,371,374,406,401,434,447,459,473,488,486,504,538,526,527,559,548,554,581,568,610
