"Language_name","rand_effect_size"
"deu","0.23832519592315"
"eng","0.248424360241645"
"est","0.0841060443546248"
"fas","NaN"
"fra","0.0931069943179454"
"hrv","0.169570057494665"
"jpn","0.383821342163643"
"kor","0.296007909028206"
"nor","0.250014154267064"
"pol","NaN"
"por","0.176616900871351"
"spa","0.176382716285924"
"swe","0.308093961952412"
"zho","NaN"
