,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000
1,66,108,151,174,213,233,291,290,313,335,350,365,367,389,424,427,440,464,460,495,491,520,514,548,535,547,548,563,587,578
2,61,118,148,186,214,255,255,297,312,339,355,372,388,394,407,432,460,470,480,485,493,517,520,536,557,568,564,574,583,574
3,59,117,150,182,221,250,250,286,308,317,341,362,373,401,433,442,465,463,460,478,491,519,526,534,528,569,549,577,573,578
4,75,121,148,189,208,229,269,286,294,327,344,377,378,400,426,446,437,450,482,493,510,530,515,530,550,539,564,566,588,589
5,67,111,149,179,220,244,263,296,305,321,363,389,387,407,395,424,453,459,466,485,490,502,526,546,560,565,561,581,570,594
6,70,107,137,184,202,234,254,290,308,338,352,382,408,405,421,427,450,459,486,470,496,513,522,531,540,543,561,575,568,593
7,76,117,149,173,224,236,263,284,311,333,350,357,378,401,411,427,425,459,486,482,503,520,506,503,547,557,576,575,565,587
8,68,114,146,190,218,240,280,297,313,331,336,373,378,421,422,444,444,468,474,496,508,524,519,521,537,528,587,564,558,592
9,66,113,159,181,231,247,273,314,314,325,335,373,380,396,426,430,441,463,476,466,495,524,510,518,552,547,564,566,570,599
10,68,126,148,177,220,235,260,299,319,344,344,353,372,391,410,430,442,476,480,472,486,510,527,529,539,546,563,561,577,584
11,71,133,158,173,211,251,269,284,299,344,370,374,397,402,436,427,449,474,495,496,519,524,513,528,539,553,560,562,596,574
12,68,101,154,184,210,254,261,285,298,340,343,369,407,376,421,439,454,457,483,486,515,503,516,546,540,556,548,563,580,576
13,73,113,144,176,212,250,269,304,303,325,352,351,389,403,426,420,447,446,481,493,503,519,527,519,540,567,569,580,599,575
14,75,110,152,184,222,240,271,290,308,331,352,370,380,398,413,434,451,450,492,480,521,508,517,541,544,562,540,556,580,598
15,84,120,154,188,220,237,266,286,293,319,347,384,383,414,405,405,436,486,476,482,519,506,520,501,535,541,558,562,580,591
16,71,113,146,183,217,246,271,294,318,338,349,367,383,402,428,428,450,468,476,481,518,496,526,505,541,562,590,584,595,565
17,82,106,148,187,214,243,257,294,328,330,344,360,368,418,414,400,432,460,489,475,516,501,505,531,572,565,560,590,585,590
18,67,109,162,175,211,240,269,308,317,315,346,376,389,384,412,425,447,469,488,490,513,512,519,530,542,559,560,559,555,585
19,77,130,153,179,237,243,262,278,315,340,323,372,390,407,420,453,437,466,473,506,503,494,554,534,547,565,561,579,591,575
20,72,112,148,177,207,218,271,304,304,326,345,362,376,380,413,428,465,468,475,492,482,519,534,528,524,566,538,551,565,584
21,68,116,140,189,223,246,275,299,342,327,338,376,365,410,413,453,459,451,478,493,484,529,530,520,548,566,527,565,594,572
22,63,120,152,182,214,242,275,299,299,342,338,376,375,397,438,434,460,450,463,466,537,510,507,519,549,566,574,567,579,577
23,71,116,149,181,207,235,278,283,314,328,343,369,377,383,417,419,457,470,468,478,507,506,529,506,536,544,557,570,576,595
24,64,109,165,166,221,247,272,312,322,331,366,393,384,414,422,454,461,468,479,475,511,533,518,517,539,553,577,572,574,587
25,69,110,142,193,201,260,275,288,321,349,359,362,363,393,423,430,443,444,497,469,484,513,528,513,530,546,561,562,573,578
26,62,117,143,167,216,249,266,283,305,343,359,364,392,391,409,406,451,434,459,484,495,516,513,535,553,560,548,564,566,590
27,71,110,141,188,204,241,264,304,306,354,335,391,405,408,405,440,428,456,486,497,506,497,542,533,546,568,585,574,578,590
28,66,110,154,175,209,254,274,294,300,321,354,360,367,391,406,438,466,461,459,489,492,527,515,532,545,526,571,583,569,603
29,68,99,140,180,190,241,266,287,307,327,335,363,364,388,407,438,452,463,491,509,481,532,523,525,548,546,578,578,580,586
30,68,116,151,175,201,231,251,300,330,336,348,361,392,384,441,446,446,440,474,483,490,512,527,511,521,551,551,555,587,582
31,64,108,138,184,209,237,258,304,320,337,362,392,397,381,407,435,446,469,468,485,497,490,532,516,524,539,557,578,571,584
32,63,116,145,193,225,254,281,283,300,335,334,365,415,420,398,422,432,453,485,481,510,481,527,495,539,526,573,585,565,593
33,67,118,145,199,214,239,285,292,314,313,342,361,394,390,421,438,447,453,457,487,493,509,532,521,536,552,553,573,585,598
34,72,110,141,170,230,258,278,299,326,346,351,379,376,406,432,415,449,452,479,486,502,518,528,519,535,545,576,579,578,584
35,63,103,153,205,212,262,272,292,301,318,340,368,405,408,444,434,438,465,477,474,485,515,520,538,541,535,565,586,568,591
36,73,109,147,195,206,244,255,298,300,326,354,371,384,406,434,422,449,463,452,490,484,497,532,552,540,546,567,573,588,600
37,75,115,142,201,215,237,294,283,291,337,358,355,393,401,428,431,457,470,475,498,503,515,529,513,544,543,569,581,586,593
38,72,109,151,185,221,243,245,283,328,323,336,364,380,391,415,434,438,474,473,507,490,512,535,537,536,562,560,597,578,592
